word,hiragana,romaji,pos,category,domain,source
愛児,あいじ,aiji,普通名詞,人,家庭・暮らし,juman
愛情,あいじょう,aijo,普通名詞,抽象物,,manual
合い鍵,あいかぎ,aikagi,普通名詞,人工物-その他,家庭・暮らし,juman
相方,あいかた,aikata,普通名詞,人,,juman
愛犬,あいけん,aiken,普通名詞,動物,,juman
合気道,あいきどう,aikido,普通名詞,抽象物,スポーツ,juman
愛好,あいこう,aiko,サ変名詞,抽象物,文化・芸術;レクリエーション,juman
合い言葉,あいことば,aikotoba,普通名詞,抽象物,,juman
合い口,あいくち,aikuchi,普通名詞,人工物-その他,,juman
愛くるしい,あいくるしい,aikurushii,イ形容詞,,,juman
合間,あいま,aima,普通名詞,時間,,juman
曖昧,あいまい,aimai,ナ形容詞,,,juman
あいにく,あいにく,ainiku,ナ形容詞,,,juman
相乗り,あいのり,ainori,サ変名詞,抽象物,交通,juman
間の手,あいのて,ainote,普通名詞,抽象物,文化・芸術;レクリエーション,juman
愛らしい,あいらしい,airashii,イ形容詞,,,juman
愛妻,あいさい,aisai,普通名詞,人,家庭・暮らし,juman
挨拶,あいさつ,aisatsu,サ変名詞,抽象物,,manual
愛車,あいしゃ,aisha,普通名詞,人工物-乗り物,交通,juman
愛唱,あいしょう,aisho,サ変名詞,抽象物,文化・芸術;レクリエーション,juman
愛想尽かし,あいそづかし,aisozukashi,普通名詞,抽象物,,juman
相手,あいて,aite,普通名詞,人,,juman
相手方,あいてかた,aitekata,普通名詞,人;場所-機能,,juman
あいつ,あいつ,aitsu,普通名詞,人,,juman
愛蔵,あいぞう,aizo,サ変名詞,抽象物,レクリエーション,juman
合図,あいず,aizu,サ変名詞,抽象物,,manual
鰺,あじ,aji,普通名詞,動物;人工物-食べ物,料理・食事,juman
味見,あじみ,ajimi,サ変名詞,抽象物,料理・食事,juman
紫陽花,あじさい,ajisai,普通名詞,植物,,juman
味付け,あじつけ,ajitsuke,サ変名詞,抽象物,料理・食事,juman
味わう,あじわう,ajiwau,動詞,,料理・食事,juman
赤,あか,aka,普通名詞,色,,juman
赤ちゃん,あかちゃん,akachan,普通名詞,人,家庭・暮らし,juman
赤毛,あかげ,akage,普通名詞,動物-部位,,juman
赤子,あかご,akago,普通名詞,人,家庭・暮らし,juman
赤米,あかごめ,akagome,普通名詞,人工物-食べ物,料理・食事,juman
赤旗,あかはた,akahata,普通名詞,人工物-その他;抽象物,,juman
赤い,あかい,akai,イ形容詞,,,juman
赤色,あかいろ,akairo,普通名詞,色,,juman
赤松,あかまつ,akamatsu,普通名詞,植物,,juman
赤身,あかみ,akami,普通名詞,動物-部位,料理・食事,juman
赤虫,あかむし,akamushi,普通名詞,動物,,juman
赤ん坊,あかんぼう,akanbo,普通名詞,人,家庭・暮らし,juman
茜,あかね,akane,普通名詞,植物,,juman
茜色,あかねいろ,akaneiro,普通名詞,色,,juman
亜寒帯,あかんたい,akantai,普通名詞,場所-その他,,juman
赤ら顔,あからがお,akaragao,普通名詞,動物-部位,,juman
明らむ,あからむ,akaramu,動詞,,,juman
あからさま,あからさま,akarasama,ナ形容詞,,,juman
明かり,あかり,akari,普通名詞,抽象物,,juman
明かり取り,あかりとり,akaritori,普通名詞,場所-施設部位,家庭・暮らし,juman
明るい,あかるい,akarui,イ形容詞,,,juman
赤錆び,あかさび,akasabi,普通名詞,自然物,,juman
証,あかし,akashi,普通名詞,人工物-その他;抽象物,,juman
明かす,あかす,akasu,動詞,,,juman
赤土,あかつち,akatsuchi,普通名詞,自然物,,juman
暁,あかつき,akatsuki,普通名詞,時間,,juman
曙,あけぼの,akebono,普通名詞,時間,,juman
明け方,あけがた,akegata,時相名詞,時間,,juman
明けの明星,あけのみょうじょう,akenomyojo,普通名詞,自然物,,juman
開けっ広げ,あけっぴろげ,akeppiroge,ナ形容詞,,,juman
明ける,あける,akeru,動詞,,,juman
明け透け,あけすけ,akesuke,ナ形容詞,,,juman
秋,あき,aki,時相名詞,時間,,juman
飽き飽き,あきあき,akiaki,サ変名詞,抽象物,,juman
空き箱,あきばこ,akibako,普通名詞,人工物-その他,,juman
秋晴れ,あきばれ,akibare,普通名詞,抽象物,,juman
空き瓶,あきびん,akibin,普通名詞,人工物-その他,,juman
空き地,あきち,akichi,普通名詞,場所-その他,,juman
秋口,あきぐち,akiguchi,時相名詞,時間,,juman
空き缶,あきかん,akikan,普通名詞,人工物-その他,,juman
秋草,あきくさ,akikusa,普通名詞,植物,,juman
秋めく,あきめく,akimeku,動詞,,,juman
商う,あきなう,akinau,動詞,,ビジネス,juman
明らか,あきらか,akiraka,ナ形容詞,,,juman
諦める,あきらめる,akirameru,動詞,,,juman
飽きる,あきる,akiru,動詞,,,juman
空き巣,あきす,akisu,普通名詞,人;抽象物,家庭・暮らし,juman
空き家,あきや,akiya,普通名詞,場所-施設,,juman
悪漢,あっかん,akkan,普通名詞,人,,juman
憧れる,あこがれる,akogareru,動詞,,,juman
灰汁,あく,aku,普通名詞,自然物,料理・食事,juman
あくび,あくび,akubi,普通名詞,抽象物,,juman
悪玉,あくだま,akudama,普通名詞,人;抽象物,健康・医学,juman
悪童,あくどう,akudo,普通名詞,人,家庭・暮らし,juman
あくどい,あくどい,akudoi,イ形容詞,,,juman
悪弊,あくへい,akuhei,普通名詞,人工物-その他,,juman
悪筆,あくひつ,akuhitsu,ナ形容詞,,,juman
悪女,あくじょ,akujo,普通名詞,人,,juman
悪夢,あくむ,akumu,普通名詞,抽象物,,manual
悪人,あくにん,akunin,普通名詞,人,,juman
悪辣,あくらつ,akuratsu,ナ形容詞,,,juman
悪質,あくしつ,akushitsu,ナ形容詞,,,juman
握手,あくしゅ,akushu,サ変名詞,抽象物,,manual
悪党,あくとう,akuto,普通名詞,人,,juman
悪役,あくやく,akuyaku,普通名詞,抽象物,文化・芸術,juman
悪友,あくゆう,akuyu,普通名詞,人,家庭・暮らし,juman
尼,あま,ama,普通名詞,人,文化・芸術,juman
雨垂れ,あまだれ,amadare,普通名詞,自然物,,juman
尼寺,あまでら,amadera,普通名詞,場所-施設,文化・芸術,juman
雨戸,あまど,amado,普通名詞,人工物-その他,家庭・暮らし,juman
甘える,あまえる,amaeru,動詞,,,juman
雨蛙,あまがえる,amagaeru,普通名詞,動物,,juman
雨傘,あまがさ,amagasa,普通名詞,人工物-その他,家庭・暮らし,juman
雨乞い,あまごい,amagoi,サ変名詞,抽象物,家庭・暮らし,juman
雨具,あまぐ,amagu,普通名詞,人工物-衣類,家庭・暮らし,juman
雨雲,あまぐも,amagumo,普通名詞,自然物,,juman
雨靴,あまぐつ,amagutsu,普通名詞,人工物-衣類,家庭・暮らし,juman
甘い,あまい,amai,イ形容詞,,,juman
甘口,あまくち,amakuchi,普通名詞,抽象物,料理・食事,juman
雨水,あまみず,amamizu,普通名詞,自然物,,juman
雨漏り,あまもり,amamori,サ変名詞,抽象物,,juman
天の川,あまのがわ,amanogawa,普通名詞,抽象物,,juman
天邪鬼,あまのじゃく,amanojaku,普通名詞,人,,juman
余り,あまり,amari,普通名詞,人工物-その他,,juman
余せる,あませる,amaseru,動詞,,,juman
余す,あます,amasu,動詞,,,juman
甘党,あまとう,amato,普通名詞,人,料理・食事,juman
甘ったれる,あまったれる,amattareru,動詞,,,juman
甘ったるい,あまったるい,amattarui,イ形容詞,,料理・食事,juman
雨宿り,あまやどり,amayadori,サ変名詞,抽象物,家庭・暮らし,juman
甘やかす,あまやかす,amayakasu,動詞,,,juman
甘酒,あまざけ,amazake,普通名詞,人工物-食べ物,料理・食事,juman
雨晒し,あまざらし,amazarashi,普通名詞,抽象物,,juman
飴,あめ,ame,普通名詞,人工物-食べ物,料理・食事,juman
雨上がり,あめあがり,ameagari,普通名詞,抽象物;時間,,juman
雨降,あめふらし,amefurashi,普通名詞,動物,,juman
飴色,あめいろ,ameiro,普通名詞,色,,juman
雨冠,あめかんむり,amekanmuri,普通名詞,抽象物,教育・学習,juman
あめんぼ,あめんぼ,amenbo,普通名詞,動物,,juman
網,あみ,ami,普通名詞,人工物-その他,,juman
阿弥陀,あみだ,amida,普通名詞,人,文化・芸術,juman
網棚,あみだな,amidana,普通名詞,場所-施設部位,交通,juman
網戸,あみど,amido,普通名詞,人工物-その他,家庭・暮らし,juman
網目,あみめ,amime,普通名詞,人工物-その他;形・模様,,juman
編み物,あみもの,amimono,普通名詞,人工物-その他,レクリエーション;家庭・暮らし,juman
網元,あみもと,amimoto,普通名詞,人,,juman
網の目,あみのめ,aminome,普通名詞,抽象物,,juman
編む,あむ,amu,動詞,,,juman
穴,あな,ana,普通名詞,場所-自然;抽象物,,juman
穴場,あなば,anaba,普通名詞,場所-その他,,juman
侮る,あなどる,anadoru,動詞,,,juman
穴子,あなご,anago,普通名詞,動物;人工物-食べ物,料理・食事,juman
穴熊,あなぐま,anaguma,普通名詞,動物,,juman
穴蔵,あなぐら,anagura,普通名詞,場所-その他,,juman
穴冠,あなかんむり,anakanmuri,普通名詞,抽象物,教育・学習,juman
あなた,あなた,anata,普通名詞,人,,juman
穴埋め,あなうめ,anaume,サ変名詞,抽象物,,juman
鞍馬,あんば,anba,普通名詞,抽象物,スポーツ,juman
あんばい,あんばい,anbai,普通名詞,抽象物,,juman
安直,あんちょく,anchoku,ナ形容詞,,,juman
暗中,あんちゅう,anchu,普通名詞,場所-その他,,juman
安打,あんだ,anda,サ変名詞,抽象物,スポーツ,juman
行灯,あんどん,andon,普通名詞,人工物-その他,,juman
姉,あね,ane,普通名詞,人,家庭・暮らし,juman
亜熱帯,あねったい,anettai,普通名詞,場所-その他,,juman
案外,あんがい,angai,ナ形容詞,,,juman
兄,あに,ani,普通名詞,人,家庭・暮らし,juman
兄貴,あにき,aniki,普通名詞,人,家庭・暮らし,juman
兄嫁,あによめ,aniyome,普通名詞,人,家庭・暮らし,juman
安住,あんじゅう,anju,サ変名詞,抽象物,家庭・暮らし,juman
安価,あんか,anka,ナ形容詞,,,juman
暗鬼,あんき,anki,普通名詞,人;抽象物,,juman
餡子,あんこ,anko,普通名詞,人工物-食べ物,料理・食事,juman
暗黒,あんこく,ankoku,ナ形容詞,,,juman
暗渠,あんきょ,ankyo,普通名詞,場所-施設,,juman
暗幕,あんまく,anmaku,普通名詞,人工物-その他,,juman
あんまり,あんまり,anmari,ナ形容詞,,,juman
安眠,あんみん,anmin,サ変名詞,抽象物,家庭・暮らし,juman
案内,あんない,annai,サ変名詞,抽象物,,manual
安穏,あんのん,annon,ナ形容詞,,,juman
彼の手此の手,あのてこのて,anotekonote,普通名詞,抽象物,,juman
あの世,あのよ,anoyo,普通名詞,場所-その他,文化・芸術,juman
安楽,あんらく,anraku,ナ形容詞,,,juman
あんさん,あんさん,ansan,普通名詞,人,,juman
安静,あんせい,ansei,ナ形容詞,,健康・医学,juman
安心,あんしん,anshin,ナ形容詞,,,juman
暗室,あんしつ,anshitsu,普通名詞,場所-施設,文化・芸術;科学・技術,juman
暗礁,あんしょう,ansho,普通名詞,自然物,,juman
安息,あんそく,ansoku,サ変名詞,抽象物,家庭・暮らし,juman
安息日,あんそくび,ansokubi,普通名詞,時間,,juman
安泰,あんたい,antai,ナ形容詞,,,juman
暗雲,あんうん,anun,普通名詞,自然物,,juman
安産,あんざん,anzan,サ変名詞,抽象物,健康・医学;家庭・暮らし,juman
安山岩,あんざんがん,anzangan,普通名詞,自然物,,juman
安全,あんぜん,anzen,ナ形容詞,,,juman
杏,あんず,anzu,普通名詞,植物;人工物-食べ物,料理・食事,juman
青葉,あおば,aoba,普通名詞,植物-部位,,juman
青大将,あおだいしょう,aodaisho,普通名詞,動物,,juman
仰ぐ,あおぐ,aogu,動詞,,,juman
葵,あおい,aoi,普通名詞,植物,,juman
青色,あおいろ,aoiro,普通名詞,色,,juman
青黴,あおかび,aokabi,普通名詞,植物,,juman
青物,あおもの,aomono,普通名詞,植物;人工物-食べ物,料理・食事,juman
仰向け,あおむけ,aomuke,普通名詞,抽象物,,juman
青虫,あおむし,aomushi,普通名詞,動物,,juman
青菜,あおな,aona,普通名詞,植物,料理・食事,juman
青海苔,あおのり,aonori,普通名詞,植物;人工物-食べ物,料理・食事,juman
煽る,あおる,aoru,動詞,,,juman
青田,あおた,aota,普通名詞,場所-その他,,juman
青空,あおぞら,aozora,普通名詞,抽象物,,manual
あっぱれ,あっぱれ,appare,ナ形容詞,,,juman
粗,あら,ara,普通名詞,人工物-その他;抽象物,,juman
あらがう,あらがう,aragau,動詞,,,juman
荒行,あらぎょう,aragyo,普通名詞,抽象物,文化・芸術,juman
粗い,あらい,arai,イ形容詞,,,juman
洗い場,あらいば,araiba,普通名詞,場所-施設部位,家庭・暮らし,juman
洗い晒し,あらいざらし,araizarashi,普通名詞,抽象物,,juman
粗削り,あらけずり,arakezuri,ナ形容詞,,,juman
荒巻き,あらまき,aramaki,普通名詞,人工物-食べ物,料理・食事,juman
あらまし,あらまし,aramashi,普通名詞,抽象物,,juman
荒物,あらもの,aramono,普通名詞,人工物-その他,家庭・暮らし,juman
粗っぽい,あらっぽい,arappoi,イ形容詞,,,juman
荒らげる,あららげる,ararageru,動詞,,,juman
粗探し,あらさがし,arasagashi,サ変名詞,抽象物,,juman
嵐,あらし,arashi,普通名詞,抽象物,,manual
争う,あらそう,arasou,動詞,,,juman
荒らす,あらす,arasu,動詞,,,juman
粗筋,あらすじ,arasuji,普通名詞,抽象物,文化・芸術,juman
新た,あらた,arata,ナ形容詞,,,juman
改まる,あらたまる,aratamaru,動詞,,,juman
改める,あらためる,aratameru,動詞,,,juman
新手,あらて,arate,普通名詞,人,,juman
洗う,あらう,arau,動詞,,家庭・暮らし,juman
荒海,あらうみ,araumi,普通名詞,場所-その他,,juman
露わ,あらわ,arawa,ナ形容詞,,,juman
現れる,あらわれる,arawareru,動詞,,,juman
現す,あらわす,arawasu,動詞,,,juman
荒れ地,あれち,arechi,普通名詞,場所-その他,,juman
荒れ野,あれの,areno,普通名詞,場所-自然,,juman
荒れる,あれる,areru,動詞,,,juman
蟻,あり,ari,普通名詞,動物,,juman
有り明け,ありあけ,ariake,普通名詞,抽象物;時間,,juman
有り合わせ,ありあわせ,ariawase,普通名詞,抽象物,,juman
有り金,ありがね,arigane,普通名詞,人工物-金銭,,juman
在りか,ありか,arika,普通名詞,場所-その他,,juman
ありきたり,ありきたり,arikitari,ナ形容詞,,,juman
ありのまま,ありのまま,arinomama,ナ形容詞,,,juman
有り様,ありさま,arisama,普通名詞,抽象物,,juman
在りし日,ありしひ,arishihi,時相名詞,時間,,juman
ありつく,ありつく,aritsuku,動詞,,料理・食事;ビジネス,juman
有る,ある,aru,動詞,,,juman
主人,あるじ,aruji,普通名詞,人,家庭・暮らし,juman
歩く,あるく,aruku,動詞,,,juman
麻,あさ,asa,普通名詞,植物,,juman
朝晩,あさばん,asaban,時相名詞,時間,,juman
朝駆け,あさがけ,asagake,サ変名詞,抽象物,,juman
朝顔,あさがお,asagao,普通名詞,植物,,juman
朝方,あさがた,asagata,時相名詞,時間,,juman
朝げ,あさげ,asage,普通名詞,人工物-食べ物,料理・食事,juman
朝霧,あさぎり,asagiri,普通名詞,抽象物,,manual
朝日,あさひ,asahi,普通名詞,自然物,,juman
浅い,あさい,asai,イ形容詞,,,juman
朝市,あさいち,asaichi,普通名詞,場所-その他,家庭・暮らし,juman
浅ましい,あさましい,asamashii,イ形容詞,,,juman
朝飯,あさめし,asameshi,普通名詞,人工物-食べ物,,juman
浅緑,あさみどり,asamidori,普通名詞,色,,juman
朝凪ぎ,あさなぎ,asanagi,普通名詞,抽象物,,juman
朝な夕な,あさなゆうな,asanayuna,時相名詞,時間,,juman
朝起き,あさおき,asaoki,サ変名詞,抽象物,家庭・暮らし,juman
朝っぱら,あさっぱら,asappara,時相名詞,時間,,juman
あさり,あさり,asari,普通名詞,動物;人工物-食べ物,料理・食事,juman
漁る,あさる,asaru,動詞,,,juman
浅瀬,あさせ,asase,普通名詞,場所-自然,,juman
朝露,あさつゆ,asatsuyu,普通名詞,自然物,,juman
明後日,あさって,asatte,時相名詞,時間,,juman
朝焼け,あさやけ,asayake,普通名詞,抽象物,,juman
朝夕,あさゆう,asayu,時相名詞,時間,,juman
汗,あせ,ase,普通名詞,自然物,,juman
汗ばむ,あせばむ,asebamu,動詞,,健康・医学,juman
汗だく,あせだく,asedaku,ナ形容詞,,,juman
汗みどろ,あせみどろ,asemidoro,ナ形容詞,,,juman
汗水,あせみず,asemizu,普通名詞,自然物,健康・医学,juman
汗疹,あせも,asemo,普通名詞,動物,健康・医学,juman
焦る,あせる,aseru,動詞,,,juman
芦,あし,ashi,普通名詞,植物,,juman
足跡,あしあと,ashiato,普通名詞,人工物-その他,,juman
足場,あしば,ashiba,普通名詞,場所-その他,,juman
足早,あしばや,ashibaya,ナ形容詞,,,juman
足踏み,あしぶみ,ashibumi,サ変名詞,抽象物,,juman
足代,あしだい,ashidai,普通名詞,人工物-金銭,,juman
足止め,あしどめ,ashidome,サ変名詞,抽象物,,juman
足取り,あしどり,ashidori,普通名詞,抽象物,,juman
足掛かり,あしがかり,ashigakari,普通名詞,場所-その他,,juman
足型,あしがた,ashigata,普通名詞,人工物-その他,,juman
足固め,あしがため,ashigatame,サ変名詞,抽象物,,juman
悪しい,あしい,ashii,イ形容詞,,,juman
海驢,あしか,ashika,普通名詞,動物,,juman
足枷,あしかせ,ashikase,普通名詞,人工物-その他,,juman
足腰,あしこし,ashikoshi,普通名詞,動物-部位,,juman
足首,あしくび,ashikubi,普通名詞,動物-部位,,juman
足下,あしもと,ashimoto,普通名詞,場所-その他,,juman
足並み,あしなみ,ashinami,普通名詞,抽象物,,juman
足慣らし,あしならし,ashinarashi,サ変名詞,抽象物,,juman
足音,あしおと,ashioto,普通名詞,抽象物,,manual
あしらう,あしらう,ashirau,動詞,,,juman
足先,あしさき,ashisaki,普通名詞,動物-部位,,juman
明日葉,あしたば,ashitaba,普通名詞,植物;人工物-食べ物,料理・食事,juman
足技,あしわざ,ashiwaza,普通名詞,抽象物,スポーツ,juman
遊び場,あそびば,asobiba,普通名詞,場所-その他,レクリエーション,juman
遊び心,あそびごころ,asobigokoro,普通名詞,抽象物,,juman
遊ぶ,あそぶ,asobu,動詞,,レクリエーション,juman
圧勝,あっしょう,assho,サ変名詞,抽象物,スポーツ,juman
明日,あす,asu,時相名詞,時間,,juman
与える,あたえる,ataeru,動詞,,,juman
頭,あたま,atama,普通名詞,動物-部位,,juman
頭ごなし,あたまごなし,atamagonashi,普通名詞,抽象物,,juman
頭越し,あたまごし,atamagoshi,普通名詞,抽象物,,juman
頭金,あたまきん,atamakin,普通名詞,人工物-金銭,家庭・暮らし;ビジネス,juman
頭打ち,あたまうち,atamauchi,普通名詞,抽象物,,juman
新しい,あたらしい,atarashii,イ形容詞,,,juman
辺り,あたり,atari,普通名詞,場所-機能;抽象物,,juman
当たり年,あたりどし,ataridoshi,普通名詞,時間,,juman
当たり前,あたりまえ,atarimae,ナ形容詞,,,juman
当たり障り,あたりさわり,atarisawari,普通名詞,抽象物,,juman
当たり役,あたりやく,atariyaku,普通名詞,抽象物,文化・芸術,juman
当たる,あたる,ataru,動詞,,,juman
暖か,あたたか,atataka,ナ形容詞,,,juman
暖かい,あたたかい,atatakai,イ形容詞,,,juman
あてがう,あてがう,ategau,動詞,,,juman
当て字,あてじ,ateji,普通名詞,抽象物,,juman
当て擦り,あてこすり,atekosuri,普通名詞,抽象物,,juman
宛て名,あてな,atena,普通名詞,抽象物,,juman
充てる,あてる,ateru,動詞,,,juman
宛て先,あてさき,atesaki,普通名詞,場所-その他,,juman
当てずっぽう,あてずっぽう,atezuppo,ナ形容詞,,,juman
後,あと,ato,時相名詞,場所-機能;時間,,juman
後足,あとあし,atoashi,普通名詞,動物-部位,,juman
後々,あとあと,atoato,時相名詞,時間,,juman
跡地,あとち,atochi,普通名詞,場所-その他,,juman
後書き,あとがき,atogaki,普通名詞,抽象物,文化・芸術;メディア,juman
後追い,あとおい,atoi,サ変名詞,抽象物,,juman
跡片付け,あとかたづけ,atokatazuke,サ変名詞,抽象物,,juman
後回し,あとまわし,atomawashi,普通名詞,抽象物,,juman
後戻り,あともどり,atomodori,サ変名詞,抽象物,,juman
後の祭り,あとのまつり,atonomatsuri,普通名詞,抽象物,,juman
後先,あとさき,atosaki,普通名詞,時間,,juman
後押し,あとおし,atoshi,サ変名詞,抽象物,,juman
跡取り,あととり,atotori,普通名詞,人,家庭・暮らし,juman
跡継ぎ,あとつぎ,atotsugi,普通名詞,人,家庭・暮らし,juman
後退り,あとずさり,atozusari,サ変名詞,抽象物,,juman
厚手,あつで,atsude,ナ形容詞,,,juman
厚紙,あつがみ,atsugami,普通名詞,人工物-その他,,juman
厚着,あつぎ,atsugi,サ変名詞,抽象物,家庭・暮らし,juman
厚い,あつい,atsui,イ形容詞,,,juman
厚地,あつじ,atsuji,普通名詞,人工物-その他,,juman
厚かましい,あつかましい,atsukamashii,イ形容詞,,,juman
扱う,あつかう,atsukau,動詞,,,juman
集まる,あつまる,atsumaru,動詞,,,juman
集める,あつめる,atsumeru,動詞,,,juman
誂え向き,あつらえむき,atsuraemuki,ナ形容詞,,,juman
誂える,あつらえる,atsuraeru,動詞,,,juman
あうんの呼吸,あうんのこきゅう,aunnokokyu,普通名詞,抽象物,,juman
泡,あわ,awa,普通名詞,自然物;抽象物,,juman
あわび,あわび,awabi,普通名詞,動物;人工物-食べ物,料理・食事,juman
淡い,あわい,awai,イ形容詞,,,juman
泡盛,あわもり,awamori,普通名詞,人工物-食べ物,料理・食事,juman
哀れ,あわれ,aware,ナ形容詞,,,juman
合わさる,あわさる,awasaru,動詞,,,juman
合わせる,あわせる,awaseru,動詞,,,juman
合わす,あわす,awasu,動詞,,,juman
慌ただしい,あわただしい,awatadashii,イ形容詞,,,juman
慌てる,あわてる,awateru,動詞,,,juman
危ぶむ,あやぶむ,ayabumu,動詞,,,juman
あやふや,あやふや,ayafuya,ナ形容詞,,,juman
あやかる,あやかる,ayakaru,動詞,,,juman
誤る,あやまる,ayamaru,動詞,,,juman
過つ,あやまつ,ayamatsu,動詞,,,juman
菖蒲,あやめ,ayame,普通名詞,植物,,juman
妖しい,あやしい,ayashii,イ形容詞,,,juman
怪しむ,あやしむ,ayashimu,動詞,,,juman
あやす,あやす,ayasu,動詞,,家庭・暮らし,juman
操る,あやつる,ayatsuru,動詞,,,juman
危うい,あやうい,ayaui,イ形容詞,,,juman
鮎,あゆ,ayu,普通名詞,動物;人工物-食べ物,料理・食事,juman
歩む,あゆむ,ayumu,動詞,,,juman
痣,あざ,aza,普通名詞,動物-部位,健康・医学,juman
嘲る,あざける,azakeru,動詞,,,juman
欺く,あざむく,azamuku,動詞,,,juman
あざらし,あざらし,azarashi,普通名詞,動物,,juman
あざ笑う,あざわらう,azawarau,動詞,,,juman
鮮やか,あざやか,azayaka,ナ形容詞,,,juman
畦,あぜ,aze,普通名詞,場所-その他,,juman
校倉,あぜくら,azekura,普通名詞,場所-施設,,juman
畦道,あぜみち,azemichi,普通名詞,場所-施設,,juman
与る,あずかる,azukaru,動詞,,,juman
預ける,あずける,azukeru,動詞,,,juman
小豆,あずき,azuki,普通名詞,植物,料理・食事,juman
婆ちゃん,ばあちゃん,baachan,普通名詞,人,家庭・暮らし,juman
婆さん,ばあさん,baasan,普通名詞,人,家庭・暮らし,juman
場当たり,ばあたり,baatari,普通名詞,抽象物,,juman
馬場,ばば,baba,普通名詞,場所-施設,スポーツ,juman
撥,ばち,bachi,普通名詞,人工物-その他,文化・芸術,juman
場違い,ばちがい,bachigai,ナ形容詞,,,juman
馬具,ばぐ,bagu,普通名詞,人工物-その他,,juman
煤煙,ばいえん,baien,普通名詞,自然物,,juman
梅花,ばいか,baika,普通名詞,植物-部位,,juman
黴菌,ばいきん,baikin,普通名詞,動物,健康・医学,juman
焙煎,ばいせん,baisen,サ変名詞,抽象物,料理・食事,juman
売店,ばいてん,baiten,普通名詞,場所-施設,ビジネス,juman
売薬,ばいやく,baiyaku,普通名詞,人工物-その他,健康・医学,juman
馬上,ばじょう,bajo,普通名詞,場所-その他,,juman
馬術,ばじゅつ,bajutsu,普通名詞,抽象物,スポーツ,juman
化かす,ばかす,bakasu,動詞,,,juman
化け物,ばけもの,bakemono,普通名詞,抽象物,,juman
馬券,ばけん,baken,普通名詞,人工物-金銭,レクリエーション,juman
化けの皮,ばけのかわ,bakenokawa,普通名詞,抽象物,,juman
