word,hiragana,romaji,note
活力,かつりょく,,ai_seed_abstract
神業,かみわざ,,ai_seed_abstract
計画,けいかく,,ai_seed_abstract
警報,けいほう,,ai_seed_abstract
計算,けいさん,,ai_seed_abstract
継続,けいぞく,,ai_seed_abstract
結末,けつまつ,,ai_seed_abstract
決定,けってい,,ai_seed_abstract
結論,けつろん,,ai_seed_abstract
基本,きほん,,ai_seed_abstract
基準,きじゅん,,ai_seed_abstract
企画,きかく,,ai_seed_abstract
気力,きりょく,,ai_seed_abstract
規則,きそく,,ai_seed_abstract
霧雨,きりさめ,,ai_seed_abstract
交流,こうりゅう,,ai_seed_abstract
攻撃,こうげき,,ai_seed_abstract
光景,こうけい,,ai_seed_abstract
好奇心,こうきしん,,ai_seed_abstract
混乱,こんらん,,ai_seed_abstract
恒例,こうれい,,ai_seed_abstract
小雨,こさめ,,ai_seed_abstract
降雪,こうせつ,,ai_seed_abstract
光沢,こうたく,,ai_seed_abstract
言葉,ことば,,ai_seed_abstract
諺,ことわざ,,ai_seed_abstract
声色,こわいろ,,ai_seed_abstract
小雪,こゆき,,ai_seed_abstract
区別,くべつ,,ai_seed_abstract
口癖,くちぐせ,,ai_seed_abstract
苦情,くじょう,,ai_seed_abstract
暗闇,くらやみ,,ai_seed_abstract
教訓,きょうくん,,ai_seed_abstract
極限,きょくげん,,ai_seed_abstract
共鳴,きょうめい,,ai_seed_abstract
興味,きょうみ,,ai_seed_abstract
恐縮,きょうしゅく,,ai_seed_abstract
究極,きゅうきょく,,ai_seed_abstract
休眠,きゅうみん,,ai_seed_abstract
救出,きゅうしゅつ,,ai_seed_abstract
吸収,きゅうしゅう,,ai_seed_abstract
満喫,まんきつ,,ai_seed_abstract
満面,まんめん,,ai_seed_abstract
正夢,まさゆめ,,ai_seed_abstract
命中,めいちゅう,,ai_seed_abstract
目撃,もくげき,,ai_seed_abstract
模範,もはん,,ai_seed_abstract
猛暑,もうしょ,,ai_seed_abstract
妄想,もうそう,,ai_seed_abstract
目録,もくろく,,ai_seed_abstract
問答,もんどう,,ai_seed_abstract
文句,もんく,,ai_seed_abstract
無言,むごん,,ai_seed_abstract
無人,むじん,,ai_seed_abstract
無名,むめい,,ai_seed_abstract
夢想,むそう,,ai_seed_abstract
妙案,みょうあん,,ai_seed_abstract
雪崩,なだれ,,ai_seed_abstract
凪,なぎ,,ai_seed_abstract
難題,なんだい,,ai_seed_abstract
難問,なんもん,,ai_seed_abstract
納得,なっとく,,ai_seed_abstract
熱狂,ねっきょう,,ai_seed_abstract
念力,ねんりき,,ai_seed_abstract
年輪,ねんりん,,ai_seed_abstract
熱波,ねっぱ,,ai_seed_abstract
熱風,ねっぷう,,ai_seed_abstract
熱意,ねつい,,ai_seed_abstract
日没,にちぼつ,,ai_seed_abstract
日常,にちじょう,,ai_seed_abstract
日課,にっか,,ai_seed_abstract
肉眼,にくがん,,ai_seed_abstract
肉声,にくせい,,ai_seed_abstract
人情,にんじょう,,ai_seed_abstract
西日,にしび,,ai_seed_abstract
日食,にっしょく,,ai_seed_abstract
日程,にってい,,ai_seed_abstract
農業,のうぎょう,,ai_seed_abstract
野宿,のじゅく,,ai_seed_abstract
野良,のら,,ai_seed_abstract
能力,のうりょく,,ai_seed_abstract
大雨,おおあめ,,ai_seed_abstract
応募,おうぼ,,ai_seed_abstract
往復,おうふく,,ai_seed_abstract
掟,おきて,,ai_seed_abstract
大水,おおみず,,ai_seed_abstract
面影,おもかげ,,ai_seed_abstract
温情,おんじょう,,ai_seed_abstract
恩恵,おんけい,,ai_seed_abstract
音響,おんきょう,,ai_seed_abstract
隠密,おんみつ,,ai_seed_abstract
音声,おんせい,,ai_seed_abstract
幼心,おさなごころ,,ai_seed_abstract
大潮,おおしお,,ai_seed_abstract
囮,おとり,,ai_seed_abstract
親潮,おやしお,,ai_seed_abstract
応用,おうよう,,ai_seed_abstract
雷鳴,らいめい,,ai_seed_abstract
雷雨,らいう,,ai_seed_abstract
落下,らっか,,ai_seed_abstract
楽勝,らくしょう,,ai_seed_abstract
落雷,らくらい,,ai_seed_abstract
落石,らくせき,,ai_seed_abstract
落葉,らくよう,,ai_seed_abstract
落胆,らくたん,,ai_seed_abstract
乱舞,らんぶ,,ai_seed_abstract
礼儀,れいぎ,,ai_seed_abstract
冷却,れいきゃく,,ai_seed_abstract
歴史,れきし,,ai_seed_abstract
連休,れんきゅう,,ai_seed_abstract
連絡,れんらく,,ai_seed_abstract
練習,れんしゅう,,ai_seed_abstract
連続,れんぞく,,ai_seed_abstract
理解,りかい,,ai_seed_abstract
理屈,りくつ,,ai_seed_abstract
理想,りそう,,ai_seed_abstract
理由,りゆう,,ai_seed_abstract
利用,りよう,,ai_seed_abstract
理性,りせい,,ai_seed_abstract
論争,ろんそう,,ai_seed_abstract
論理,ろんり,,ai_seed_abstract
両方,りょうほう,,ai_seed_abstract
旅情,りょじょう,,ai_seed_abstract
両立,りょうりつ,,ai_seed_abstract
流行,りゅうこう,,ai_seed_abstract
作業,さぎょう,,ai_seed_abstract
栽培,さいばい,,ai_seed_abstract
再会,さいかい,,ai_seed_abstract
才能,さいのう,,ai_seed_abstract
逆手,さかて,,ai_seed_abstract
錯覚,さっかく,,ai_seed_abstract
作成,さくせい,,ai_seed_abstract
五月雨,さみだれ,,ai_seed_abstract
寒空,さむぞら,,ai_seed_abstract
産卵,さんらん,,ai_seed_abstract
賛成,さんせい,,ai_seed_abstract
指図,さしず,,ai_seed_abstract
里心,さとごころ,,ai_seed_abstract
作用,さよう,,ai_seed_abstract
静電気,せいでんき,,ai_seed_abstract
正義,せいぎ,,ai_seed_abstract
誠意,せいい,,ai_seed_abstract
成熟,せいじゅく,,ai_seed_abstract
積雪,せきせつ,,ai_seed_abstract
説教,せっきょう,,ai_seed_abstract
洗練,せんれん,,ai_seed_abstract
設定,せってい,,ai_seed_abstract
接続,せつぞく,,ai_seed_abstract
雪月花,せつげっか,,ai_seed_abstract
世話,せわ,,ai_seed_abstract
謝罪,しゃざい,,ai_seed_abstract
刺激,しげき,,ai_seed_abstract
思案,しあん,,ai_seed_abstract
色彩,しきさい,,ai_seed_abstract
湿気,しっけ,,ai_seed_abstract
使命,しめい,,ai_seed_abstract
霜柱,しもばしら,,ai_seed_abstract
進化,しんか,,ai_seed_abstract
蜃気楼,しんきろう,,ai_seed_abstract
侵入,しんにゅう,,ai_seed_abstract
心理,しんり,,ai_seed_abstract
新作,しんさく,,ai_seed_abstract
新種,しんしゅ,,ai_seed_abstract
進出,しんしゅつ,,ai_seed_abstract
進展,しんてん,,ai_seed_abstract
白浪,しらなみ,,ai_seed_abstract
白黒,しろくろ,,ai_seed_abstract
支度,したく,,ai_seed_abstract
下心,したごころ,,ai_seed_abstract
下見,したみ,,ai_seed_abstract
指摘,してき,,ai_seed_abstract
質疑,しつぎ,,ai_seed_abstract
視野,しや,,ai_seed_abstract
衝撃,しょうげき,,ai_seed_abstract
植樹,しょくじゅ,,ai_seed_abstract
植林,しょくりん,,ai_seed_abstract
焼却,しょうきゃく,,ai_seed_abstract
消去,しょうきょ,,ai_seed_abstract
消滅,しょうめつ,,ai_seed_abstract
消耗,しょうもう,,ai_seed_abstract
正念場,しょうねんば,,ai_seed_abstract
消失,しょうしつ,,ai_seed_abstract
焦燥,しょうそう,,ai_seed_abstract
初対面,しょたいめん,,ai_seed_abstract
衝突,しょうとつ,,ai_seed_abstract
集会,しゅうかい,,ai_seed_abstract
集計,しゅうけい,,ai_seed_abstract
集結,しゅうけつ,,ai_seed_abstract
集金,しゅうきん,,ai_seed_abstract
出火,しゅっか,,ai_seed_abstract
祝宴,しゅくえん,,ai_seed_abstract
祝福,しゅくふく,,ai_seed_abstract
祝賀,しゅくが,,ai_seed_abstract
出発,しゅっぱつ,,ai_seed_abstract
修理,しゅうり,,ai_seed_abstract
出席,しゅっせき,,ai_seed_abstract
出身,しゅっしん,,ai_seed_abstract
出没,しゅつぼつ,,ai_seed_abstract
出動,しゅつどう,,ai_seed_abstract
出現,しゅつげん,,ai_seed_abstract
出陣,しゅつじん,,ai_seed_abstract
出力,しゅつりょく,,ai_seed_abstract
騒動,そうどう,,ai_seed_abstract
送迎,そうげい,,ai_seed_abstract
即決,そっけつ,,ai_seed_abstract
即興,そっきょう,,ai_seed_abstract
底力,そこぢから,,ai_seed_abstract
測量,そくりょう,,ai_seed_abstract
促進,そくしん,,ai_seed_abstract
速達,そくたつ,,ai_seed_abstract
測定,そくてい,,ai_seed_abstract
即答,そくとう,,ai_seed_abstract
即座,そくざ,,ai_seed_abstract
尊敬,そんけい,,ai_seed_abstract
存在,そんざい,,ai_seed_abstract
空耳,そらみみ,,ai_seed_abstract
空模様,そらもよう,,ai_seed_abstract
空似,そらに,,ai_seed_abstract
創立,そうりつ,,ai_seed_abstract
操作,そうさ,,ai_seed_abstract
創作,そうさく,,ai_seed_abstract
率先,そっせん,,ai_seed_abstract
素手,すで,,ai_seed_abstract
水圧,すいあつ,,ai_seed_abstract
推理,すいり,,ai_seed_abstract
推測,すいそく,,ai_seed_abstract
筋道,すじみち,,ai_seed_abstract
隅々,すみずみ,,ai_seed_abstract
立場,たちば,,ai_seed_abstract
態度,たいど,,ai_seed_abstract
体験,たいけん,,ai_seed_abstract
体格,たいかく,,ai_seed_abstract
対応,たいおう,,ai_seed_abstract
対立,たいりつ,,ai_seed_abstract
体力,たいりょく,,ai_seed_abstract
対策,たいさく,,ai_seed_abstract
退散,たいさん,,ai_seed_abstract
体質,たいしつ,,ai_seed_abstract
大役,たいやく,,ai_seed_abstract
高波,たかなみ,,ai_seed_abstract
高潮,たかしお,,ai_seed_abstract
竹取,たけとり,,ai_seed_abstract
達成,たっせい,,ai_seed_abstract
探求,たんきゅう,,ai_seed_abstract
鍛錬,たんれん,,ai_seed_abstract
短縮,たんしゅく,,ai_seed_abstract
嘆息,たんそく,,ai_seed_abstract
多数決,たすうけつ,,ai_seed_abstract
提案,ていあん,,ai_seed_abstract
定番,ていばん,,ai_seed_abstract
程度,ていど,,ai_seed_abstract
定期,ていき,,ai_seed_abstract
定例,ていれい,,ai_seed_abstract
偵察,ていさつ,,ai_seed_abstract
訂正,ていせい,,ai_seed_abstract
停止,ていし,,ai_seed_abstract
提出,ていしゅつ,,ai_seed_abstract
手順,てじゅん,,ai_seed_abstract
的中,てきちゅう,,ai_seed_abstract
適応,てきおう,,ai_seed_abstract
手癖,てくせ,,ai_seed_abstract
展望,てんぼう,,ai_seed_abstract
展開,てんかい,,ai_seed_abstract
転換,てんかん,,ai_seed_abstract
点検,てんけん,,ai_seed_abstract
天命,てんめい,,ai_seed_abstract
点滅,てんめつ,,ai_seed_abstract
天変,てんぺん,,ai_seed_abstract
転落,てんらく,,ai_seed_abstract
転送,てんそう,,ai_seed_abstract
鉄則,てっそく,,ai_seed_abstract
手数,てすう,,ai_seed_abstract
撤収,てっしゅう,,ai_seed_abstract
撤退,てったい,,ai_seed_abstract
徹底,てってい,,ai_seed_abstract
遠浅,とおあさ,,ai_seed_abstract
逃亡,とうぼう,,ai_seed_abstract
等分,とうぶん,,ai_seed_abstract
到着,とうちゃく,,ai_seed_abstract
途中,とちゅう,,ai_seed_abstract
登壇,とうだん,,ai_seed_abstract
遠出,とおで,,ai_seed_abstract
投影,とうえい,,ai_seed_abstract
吐息,といき,,ai_seed_abstract
統一,とういつ,,ai_seed_abstract
凍結,とうけつ,,ai_seed_abstract
特権,とっけん,,ai_seed_abstract
突起,とっき,,ai_seed_abstract
特効,とっこう,,ai_seed_abstract
常夏,とこなつ,,ai_seed_abstract
特徴,とくちょう,,ai_seed_abstract
特技,とくぎ,,ai_seed_abstract
匿名,とくめい,,ai_seed_abstract
特製,とくせい,,ai_seed_abstract
特色,とくしょく,,ai_seed_abstract
特定,とくてい,,ai_seed_abstract
頓知,とんち,,ai_seed_abstract
突破,とっぱ,,ai_seed_abstract
突発,とっぱつ,,ai_seed_abstract
討論,とうろん,,ai_seed_abstract
登録,とうろく,,ai_seed_abstract
投石,とうせき,,ai_seed_abstract
年下,としした,,ai_seed_abstract
年上,としうえ,,ai_seed_abstract
逃走,とうそう,,ai_seed_abstract
突進,とっしん,,ai_seed_abstract
突出,とっしゅつ,,ai_seed_abstract
到達,とうたつ,,ai_seed_abstract
突撃,とつげき,,ai_seed_abstract
突入,とつにゅう,,ai_seed_abstract
槌音,つちおと,,ai_seed_abstract
追加,ついか,,ai_seed_abstract
追跡,ついせき,,ai_seed_abstract
追伸,ついしん,,ai_seed_abstract
通常,つうじょう,,ai_seed_abstract
痛感,つうかん,,ai_seed_abstract
通告,つうこく,,ai_seed_abstract
爪痕,つめあと,,ai_seed_abstract
通算,つうさん,,ai_seed_abstract
通称,つうしょう,,ai_seed_abstract
通達,つうたつ,,ai_seed_abstract
通用,つうよう,,ai_seed_abstract
内訳,うちわけ,,ai_seed_abstract
羽化,うか,,ai_seed_abstract
受取,うけとり,,ai_seed_abstract
受付,うけつけ,,ai_seed_abstract
雲泥,うんでい,,ai_seed_abstract
雲水,うんすい,,ai_seed_abstract
右往左往,うおうさおう,,ai_seed_abstract
裏話,うらばなし,,ai_seed_abstract
裏目,うらめ,,ai_seed_abstract
裏表,うらおもて,,ai_seed_abstract
鱗雲,うろこぐも,,ai_seed_abstract
薄日,うすび,,ai_seed_abstract
薄着,うすぎ,,ai_seed_abstract
雨天,うてん,,ai_seed_abstract
噂,うわさ,,ai_seed_abstract
渦潮,うずしお,,ai_seed_abstract
和風,わふう,,ai_seed_abstract
八重,やえ,,ai_seed_abstract
野次,やじ,,ai_seed_abstract
夜景,やけい,,ai_seed_abstract
夜行,やこう,,ai_seed_abstract
躍動,やくどう,,ai_seed_abstract
役目,やくめ,,ai_seed_abstract
躍進,やくしん,,ai_seed_abstract
山勘,やまかん,,ai_seed_abstract
闇夜,やみよ,,ai_seed_abstract
野生,やせい,,ai_seed_abstract
野心,やしん,,ai_seed_abstract
余談,よだん,,ai_seed_abstract
夜霧,よぎり,,ai_seed_abstract
余波,よは,,ai_seed_abstract
夜風,よかぜ,,ai_seed_abstract
用件,ようけん,,ai_seed_abstract
欲求,よっきゅう,,ai_seed_abstract
横風,よこかぜ,,ai_seed_abstract
予告,よこく,,ai_seed_abstract
横目,よこめ,,ai_seed_abstract
横波,よこなみ,,ai_seed_abstract
欲,よく,,ai_seed_abstract
夜長,よなが,,ai_seed_abstract
要領,ようりょう,,ai_seed_abstract
余力,よりょく,,ai_seed_abstract
予測,よそく,,ai_seed_abstract
予定,よてい,,ai_seed_abstract
要点,ようてん,,ai_seed_abstract
夜露,よつゆ,,ai_seed_abstract
弱音,よわね,,ai_seed_abstract
要約,ようやく,,ai_seed_abstract
余裕,よゆう,,ai_seed_abstract
友愛,ゆうあい,,ai_seed_abstract
勇断,ゆうだん,,ai_seed_abstract
誘導,ゆうどう,,ai_seed_abstract
夕霧,ゆうぎり,,ai_seed_abstract
融合,ゆうごう,,ai_seed_abstract
雪空,ゆきぞら,,ai_seed_abstract
夢心地,ゆめごこち,,ai_seed_abstract
夕靄,ゆうもや,,ai_seed_abstract
由来,ゆらい,,ai_seed_abstract
夕闇,ゆうやみ,,ai_seed_abstract
夕月夜,ゆうづきよ,,ai_seed_abstract
座談,ざだん,,ai_seed_abstract
雑談,ざつだん,,ai_seed_abstract
雑音,ざつおん,,ai_seed_abstract
雑用,ざつよう,,ai_seed_abstract
雑踏,ざっとう,,ai_seed_abstract
絶景,ぜっけい,,ai_seed_abstract
絶好,ぜっこう,,ai_seed_abstract
絶句,ぜっく,,ai_seed_abstract
絶叫,ぜっきょう,,ai_seed_abstract
善悪,ぜんあく,,ai_seed_abstract
前兆,ぜんちょう,,ai_seed_abstract
全景,ぜんけい,,ai_seed_abstract
全滅,ぜんめつ,,ai_seed_abstract
全力,ぜんりょく,,ai_seed_abstract
全速力,ぜんそくりょく,,ai_seed_abstract
全体,ぜんたい,,ai_seed_abstract
絶賛,ぜっさん,,ai_seed_abstract
絶望,ぜつぼう,,ai_seed_abstract
絶滅,ぜつめつ,,ai_seed_abstract
続行,ぞっこう,,ai_seed_abstract
続出,ぞくしゅつ,,ai_seed_abstract
増強,ぞうきょう,,ai_seed_abstract
蔵書,ぞうしょ,,ai_seed_abstract
図星,ずぼし,,ai_seed_abstract
図柄,ずがら,,ai_seed_abstract
図表,ずひょう,,ai_seed_abstract
随一,ずいいち,,ai_seed_abstract
図解,ずかい,,ai_seed_abstract
図式,ずしき,,ai_seed_abstract
# 以下は 3 文字以下の音読み単漢字語 (short_on_reading レビュー) のうち AI が基本語と判断したもの。,,,
茶,ちゃ,,ai_seed_short_on_reading
駅,えき,,ai_seed_short_on_reading
銀,ぎん,,ai_seed_short_on_reading
本,ほん,,ai_seed_short_on_reading
門,もん,,ai_seed_short_on_reading
竜,りゅう,,ai_seed_short_on_reading
天,てん,,ai_seed_short_on_reading
剣,けん,,ai_seed_short_on_reading
缶,かん,,ai_seed_short_on_reading
輪,りん,,ai_seed_short_on_reading
線,せん,,ai_seed_short_on_reading
台,だい,,ai_seed_short_on_reading
段,だん,,ai_seed_short_on_reading
市,し,,ai_seed_short_on_reading
週,しゅう,,ai_seed_short_on_reading
瓶,びん,,ai_seed_short_on_reading
盆,ぼん,,ai_seed_short_on_reading
晩,ばん,,ai_seed_short_on_reading
紺,こん,,ai_seed_short_on_reading
塀,へい,,ai_seed_short_on_reading
芸,げい,,ai_seed_short_on_reading
# 以下は厳選版のために AI が選定した、かなを含む日常的な抽象名詞 (自然現象・状態・日常の活動)。通常版には元々含まれており、厳選版の採用対象にする印として登録。,,,
明かり,あかり,,ai_seed_strict
秋晴れ,あきばれ,,ai_seed_strict
あくび,あくび,,ai_seed_strict
天の川,あまのがわ,,ai_seed_strict
雨上がり,あめあがり,,ai_seed_strict
仰向け,あおむけ,,ai_seed_strict
朝焼け,あさやけ,,ai_seed_strict
遊び心,あそびごころ,,ai_seed_strict
化け物,ばけもの,,ai_seed_strict
力持ち,ちからもち,,ai_seed_strict
段取り,だんどり,,ai_seed_strict
土砂降り,どしゃぶり,,ai_seed_strict
笑み,えみ,,ai_seed_strict
肌触り,はだざわり,,ai_seed_strict
花曇り,はなぐもり,,ai_seed_strict
花盛り,はなざかり,,ai_seed_strict
晴れ間,はれま,,ai_seed_strict
話し声,はなしごえ,,ai_seed_strict
合い言葉,あいことば,,ai_seed_strict
あぐら,あぐら,,ai_seed_strict
上げ潮,あげしお,,ai_seed_strict
日当たり,ひあたり,,ai_seed_strict
左利き,ひだりきき,,ai_seed_strict
日照り,ひでり,,ai_seed_strict
日暮れ,ひぐれ,,ai_seed_strict
引き潮,ひきしお,,ai_seed_strict
日の出,ひので,,ai_seed_strict
日の入り,ひのいり,,ai_seed_strict
人通り,ひとどおり,,ai_seed_strict
人込み,ひとごみ,,ai_seed_strict
一息,ひといき,,ai_seed_strict
人影,ひとかげ,,ai_seed_strict
独りぼっち,ひとりぼっち,,ai_seed_strict
独り言,ひとりごと,,ai_seed_strict
日差し,ひざし,,ai_seed_strict
骨組み,ほねぐみ,,ai_seed_strict
家並み,いえなみ,,ai_seed_strict
生きがい,いきがい,,ai_seed_strict
いろは,いろは,,ai_seed_strict
掛け声,かけごえ,,ai_seed_strict
隠し事,かくしごと,,ai_seed_strict
かまくら,かまくら,,ai_seed_strict
金縛り,かなしばり,,ai_seed_strict
風向き,かざむき,,ai_seed_strict
風通し,かぜとおし,,ai_seed_strict
気合い,きあい,,ai_seed_strict
気持ち,きもち,,ai_seed_strict
きっかけ,きっかけ,,ai_seed_strict
気配り,きくばり,,ai_seed_strict
決め手,きめて,,ai_seed_strict
木枯らし,こがらし,,ai_seed_strict
木漏れ日,こもれび,,ai_seed_strict
言葉遣い,ことばづかい,,ai_seed_strict
曇り空,くもりぞら,,ai_seed_strict
雲行き,くもゆき,,ai_seed_strict
草刈り,くさかり,,ai_seed_strict
町並み,まちなみ,,ai_seed_strict
間取り,まどり,,ai_seed_strict
前触れ,まえぶれ,,ai_seed_strict
満月,まんげつ,,ai_seed_strict
三日月,みかづき,,ai_seed_strict
満ち潮,みちしお,,ai_seed_strict
満ち欠け,みちかけ,,ai_seed_strict
道連れ,みちづれ,,ai_seed_strict
身代わり,みがわり,,ai_seed_strict
身なり,みなり,,ai_seed_strict
見た目,みため,,ai_seed_strict
水浸し,みずびたし,,ai_seed_strict
もや,もや,,ai_seed_strict
向かい風,むかいかぜ,,ai_seed_strict
胸騒ぎ,むなさわぎ,,ai_seed_strict
結び目,むすびめ,,ai_seed_strict
名残り,なごり,,ai_seed_strict
仲良し,なかよし,,ai_seed_strict
泣き顔,なきがお,,ai_seed_strict
泣き声,なきごえ,,ai_seed_strict
縄張り,なわばり,,ai_seed_strict
猫撫で声,ねこなでごえ,,ai_seed_strict
俄か雨,にわかあめ,,ai_seed_strict
のろし,のろし,,ai_seed_strict
濡れ衣,ぬれぎぬ,,ai_seed_strict
朧月夜,おぼろづきよ,,ai_seed_strict
追い風,おいかぜ,,ai_seed_strict
生い立ち,おいたち,,ai_seed_strict
奥行き,おくゆき,,ai_seed_strict
思い出,おもいで,,ai_seed_strict
同い年,おないどし,,ai_seed_strict
親譲り,おやゆずり,,ai_seed_strict
叫び声,さけびごえ,,ai_seed_strict
裂け目,さけめ,,ai_seed_strict
逆さ,さかさ,,ai_seed_strict
五月晴れ,さつきばれ,,ai_seed_strict
さざ波,さざなみ,,ai_seed_strict
星座,せいざ,,ai_seed_strict
湿り気,しめりけ,,ai_seed_strict
霜解け,しもどけ,,ai_seed_strict
忍び足,しのびあし,,ai_seed_strict
静けさ,しずけさ,,ai_seed_strict
そよ風,そよかぜ,,ai_seed_strict
炭焼き,すみやき,,ai_seed_strict
溜め息,ためいき,,ai_seed_strict
助け船,たすけぶね,,ai_seed_strict
手掛かり,てがかり,,ai_seed_strict
手応え,てごたえ,,ai_seed_strict
手触り,てざわり,,ai_seed_strict
通り雨,とおりあめ,,ai_seed_strict
通りすがり,とおりすがり,,ai_seed_strict
取って置き,とっておき,,ai_seed_strict
つむじ風,つむじかぜ,,ai_seed_strict
面構え,つらがまえ,,ai_seed_strict
吊り輪,つりわ,,ai_seed_strict
海鳴り,うみなり,,ai_seed_strict
笑い話,わらいばなし,,ai_seed_strict
